Amplitude (LSB) - Signal,Time (us)
27450,0.000000
27913,0.000488
28667,0.000977
28428,0.001465
29281,0.001953
29349,0.002441
29437,0.002930
30166,0.003418
29971,0.003906
30166,0.004395
30625,0.004883
30306,0.005371
30653,0.005859
30924,0.006348
30466,0.006836
30872,0.007324
30689,0.007812
30418,0.008301
30876,0.008789
30545,0.009277
30278,0.009766
30545,0.010254
29859,0.010742
29891,0.011230
29883,0.011719
29209,0.012207
29173,0.012695
28970,0.013184
28176,0.013672
28312,0.014160
27738,0.014648
26960,0.015137
27092,0.015625
26182,0.016113
25640,0.016602
25588,0.017090
24611,0.017578
24188,0.018066
23821,0.018555
22888,0.019043
22521,0.019531
21939,0.020020
20734,0.020508
20607,0.020996
19650,0.021484
18673,0.021973
18373,0.022461
17017,0.022949
16419,0.023438
15885,0.023926
14477,0.024414
14026,0.024902
13261,0.025391
11861,0.025879
11538,0.026367
10632,0.026855
09312,0.027344
09101,0.027832
07825,0.028320
06915,0.028809
06429,0.029297
04893,0.029785
04375,0.030273
03466,0.030762
02006,0.031250
01727,0.031738
00459,0.032227
-0826,0.032715
-1169,0.033203
-2540,0.033691
-3673,0.034180
-4016,0.034668
-5595,0.035156
-6357,0.035645
-6951,0.036133
-8547,0.036621
-8786,0.037109
-9990,0.037598
-11079,0.038086
-11390,0.038574
-12854,0.039062
-13604,0.039551
-13919,0.040039
-15362,0.040527
-15981,0.041016
-16459,0.041504
-17799,0.041992
-18046,0.042480
-18844,0.042969
-20104,0.043457
-20104,0.043945
-21285,0.044434
-21931,0.044922
-22226,0.045410
-23367,0.045898
-23662,0.046387
-24212,0.046875
-25249,0.047363
-25381,0.047852
-25807,0.048340
-26788,0.048828
-26773,0.049316
-27466,0.049805
-28184,0.050293
-27953,0.050781
-28894,0.051270
-29094,0.051758
-29022,0.052246
-29903,0.052734
-29764,0.053223
-29995,0.053711
-30430,0.054199
-30162,0.054688
-30561,0.055176
-30689,0.055664
-30402,0.056152
-30797,0.056641
-30984,0.057129
-30334,0.057617
-31040,0.058105
-30609,0.058594
-30354,0.059082
-30888,0.059570
-30258,0.060059
-30270,0.060547
-30330,0.061035
-29700,0.061523
-29772,0.062012
-29516,0.062500
-28910,0.062988
-29054,0.063477
-28487,0.063965
-27714,0.064453
-27945,0.064941
-26940,0.065430
-26469,0.065918
-26398,0.066406
-25225,0.066895
-25169,0.067383
-24571,0.067871
-23686,0.068359
-23470,0.068848
-22804,0.069336
-21827,0.069824
-21676,0.070312
-20615,0.070801
-19817,0.071289
-19554,0.071777
-18202,0.072266
-17751,0.072754
-17145,0.073242
-15813,0.073730
-15454,0.074219
-14425,0.074707
-13380,0.075195
-12894,0.075684
-11793,0.076172
-10860,0.076660
-10293,0.077148
-9089,0.077637
-8299,0.078125
-7693,0.078613
-6226,0.079102
-5587,0.079590
-4714,0.080078
-3470,0.080566
-2903,0.081055
-1687,0.081543
-0730,0.082031
-0012,0.082520
01161,0.083008
02197,0.083496
02700,0.083984
04088,0.084473
04981,0.084961
05607,0.085449
06959,0.085938
07637,0.086426
08547,0.086914
09719,0.087402
10333,0.087891
11294,0.088379
12359,0.088867
12726,0.089355
13978,0.089844
14664,0.090332
15167,0.090820
16387,0.091309
16934,0.091797
17488,0.092285
18820,0.092773
19179,0.093262
19873,0.093750
20874,0.094238
21253,0.094727
22178,0.095215
22840,0.095703
23143,0.096191
24116,0.096680
24527,0.097168
24850,0.097656
25919,0.098145
26087,0.098633
26521,0.099121
27498,0.099609
27403,0.100098
28136,0.100586
28623,0.101074
28735,0.101562
29201,0.102051
29716,0.102539
29520,0.103027
30190,0.103516
30410,0.104004
30186,0.104492
30976,0.104980
30505,0.105469
30745,0.105957
30992,0.106445
30545,0.106934
30820,0.107422
30912,0.107910
30426,0.108398
30537,0.108887
30761,0.109375
30162,0.109863
30326,0.110352
30091,0.110840
29504,0.111328
29899,0.111816
29205,0.112305
28998,0.112793
28958,0.113281
28216,0.113770
28148,0.114258
27782,0.114746
27092,0.115234
26864,0.115723
26541,0.116211
25488,0.116699
25520,0.117188
24794,0.117676
23765,0.118164
23797,0.118652
22497,0.119141
22186,0.119629
21739,0.120117
20519,0.120605
20192,0.121094
19466,0.121582
18417,0.122070
18038,0.122559
17221,0.123047
15973,0.123535
15949,0.124023
14664,0.124512
13707,0.125000
13532,0.125488
11865,0.125977
11418,0.126465
10589,0.126953
09161,0.127441
08854,0.127930
07566,0.128418
06489,0.128906
05918,0.129395
04758,0.129883
03605,0.130371
03202,0.130859
01735,0.131348
00953,0.131836
00415,0.132324
-1240,0.132812
-1543,0.133301
-2612,0.133789
-3904,0.134277
-4211,0.134766
-5651,0.135254
-6584,0.135742
-7055,0.136230
-8363,0.136719
-9332,0.137207
-9719,0.137695
-11187,0.138184
-11801,0.138672
-12475,0.139160
-14002,0.139648
-14198,0.140137
-15295,0.140625
-16403,0.141113
-16575,0.141602
-17867,0.142090
-18553,0.142578
-18992,0.143066
-20216,0.143555
-20663,0.144043
-21022,0.144531
-22433,0.145020
-22541,0.145508
-23111,0.145996
-24268,0.146484
-24128,0.146973
-25105,0.147461
-25752,0.147949
-25752,0.148438
-26804,0.148926
-27016,0.149414
-27203,0.149902
-28200,0.150391
-28113,0.150879
-28448,0.151367
-29365,0.151855
-28982,0.152344
-29524,0.152832
-30174,0.153320
-29716,0.153809
-30398,0.154297
-30489,0.154785
-30310,0.155273
-30872,0.155762
-30665,0.156250
-30689,0.156738
-31112,0.157227
-30689,0.157715
-30765,0.158203
-30996,0.158691
-30382,0.159180
-30665,0.159668
-30521,0.160156
-29935,0.160645
-30214,0.161133
-29835,0.161621
-29361,0.162109
-29341,0.162598
-28870,0.163086
-28495,0.163574
-28320,0.164062
-27634,0.164551
-27355,0.165039
-27068,0.165527
-26198,0.166016
-26043,0.166504
-25456,0.166992
-24543,0.167480
-24483,0.167969
-23678,0.168457
-22848,0.168945
-22529,0.169434
-21779,0.169922
-20998,0.170410
-20623,0.170898
-19526,0.171387
-19035,0.171875
-18517,0.172363
-17337,0.172852
-16918,0.173340
-16060,0.173828
-14928,0.174316
-14553,0.174805
-13332,0.175293
-12431,0.175781
-11909,0.176270
-10700,0.176758
-9727,0.177246
-9113,0.177734
-7845,0.178223
-7123,0.178711
-6337,0.179199
-4997,0.179688
-4543,0.180176
-3490,0.180664
-2357,0.181152
-1902,0.181641
-0459,0.182129
00283,0.182617
00977,0.183105
02293,0.183594
03075,0.184082
03689,0.184570
05217,0.185059
05743,0.185547
06592,0.186035
08068,0.186523
08319,0.187012
09695,0.187500
10620,0.187988
11107,0.188477
12519,0.188965
13117,0.189453
13943,0.189941
15019,0.190430
15598,0.190918
16324,0.191406
17524,0.191895
17767,0.192383
18788,0.192871
19785,0.193359
19821,0.193848
21261,0.194336
21644,0.194824
22122,0.195312
23379,0.195801
23550,0.196289
24228,0.196777
25201,0.197266
25273,0.197754
25951,0.198242
26721,0.198730
26709,0.199219
27498,0.199707
28057,0.200195
27742,0.200684
28938,0.201172
28703,0.201660
28922,0.202148
29915,0.202637
29261,0.203125
30099,0.203613
30334,0.204102
30091,0.204590
30709,0.205078
30769,0.205566
30489,0.206055
31104,0.206543
30912,0.207031
30609,0.207520
30625,0.208008
30489,0.208496
30757,0.208984
31016,0.209473
30027,0.209961
30689,0.210449
30115,0.210938
29660,0.211426
30007,0.211914
29217,0.212402
28994,0.212891
28926,0.213379
28208,0.213867
27853,0.214355
27913,0.214844
26709,0.215332
26800,0.215820
26290,0.216309
25313,0.216797
25680,0.217285
24300,0.217773
24037,0.218262
23805,0.218750
22489,0.219238
22310,0.219727
21708,0.220215
20599,0.220703
20232,0.221191
