Amplitude (LSB) - Signal,Time (us)
00000,0.000000
00116,0.000977
-0024,0.001953
00016,0.002930
-0028,0.003906
00012,0.004883
-0243,0.005859
00012,0.006836
-0112,0.007812
00092,0.008789
-0004,0.009766
-0044,0.010742
00008,0.011719
-0020,0.012695
00060,0.013672
-0004,0.014648
-0156,0.015625
00108,0.016602
-0044,0.017578
00016,0.018555
00000,0.019531
00048,0.020508
00215,0.021484
-0020,0.022461
-0004,0.023438
00104,0.024414
-0012,0.025391
00004,0.026367
00028,0.027344
-0024,0.028320
00351,0.029297
-0060,0.030273
00000,0.031250
00060,0.032227
00024,0.033203
00068,0.034180
-0036,0.035156
-0020,0.036133
-0371,0.037109
00028,0.038086
-0132,0.039062
00132,0.040039
-0020,0.041016
00036,0.041992
-0020,0.042969
00004,0.043945
-0072,0.044922
-0036,0.045898
00088,0.046875
-0040,0.047852
-0016,0.048828
-0016,0.049805
-0008,0.050781
00012,0.051758
00387,0.052734
00036,0.053711
-0004,0.054688
00187,0.055664
00020,0.056641
00028,0.057617
-0008,0.058594
00012,0.059570
00355,0.060547
00028,0.061523
-0124,0.062500
-0004,0.063477
00052,0.064453
00024,0.065430
00028,0.066406
00052,0.067383
-0227,0.068359
-0016,0.069336
-0056,0.070312
00020,0.071289
00036,0.072266
00036,0.073242
00008,0.074219
-0028,0.075195
-0379,0.076172
00020,0.077148
00064,0.078125
-0156,0.079102
00028,0.080078
00048,0.081055
00044,0.082031
-0024,0.083008
00072,0.083984
-0016,0.084961
00032,0.085938
-0104,0.086914
00028,0.087891
00012,0.088867
-0044,0.089844
00052,0.090820
00064,0.091797
-0004,0.092773
00104,0.093750
-0048,0.094727
-0036,0.095703
-0020,0.096680
-0008,0.097656
00036,0.098633
00052,0.099609
-0004,0.100586
00020,0.101562
-0024,0.102539
00044,0.103516
00016,0.104492
-0008,0.105469
00044,0.106445
00207,0.107422
00004,0.108398
-0016,0.109375
00140,0.110352
00056,0.111328
00024,0.112305
00028,0.113281
00020,0.114258
-0084,0.115234
-0004,0.116211
-0040,0.117188
-0028,0.118164
-0020,0.119141
-0024,0.120117
00008,0.121094
00060,0.122070
-0104,0.123047
-0036,0.124023
-0028,0.125000
00048,0.125977
-0036,0.126953
00020,0.127930
-0028,0.128906
00056,0.129883
-0100,0.130859
-0004,0.131836
00156,0.132812
00120,0.133789
00076,0.134766
00060,0.135742
-0020,0.136719
00044,0.137695
00044,0.138672
-0052,0.139648
00044,0.140625
00104,0.141602
-0052,0.142578
00004,0.143555
-0020,0.144531
00012,0.145508
00331,0.146484
-0004,0.147461
00072,0.148438
-0040,0.149414
-0012,0.150391
-0024,0.151367
-0020,0.152344
00048,0.153320
00084,0.154297
00020,0.155273
00056,0.156250
-0004,0.157227
-0020,0.158203
00028,0.159180
00036,0.160156
00012,0.161133
-0068,0.162109
-0036,0.163086
-0020,0.164062
-0092,0.165039
-0028,0.166016
00016,0.166992
-0008,0.167969
00036,0.168945
-0108,0.169922
00016,0.170898
00000,0.171875
-0020,0.172852
-0028,0.173828
-0028,0.174805
-0028,0.175781
-0004,0.176758
-0251,0.177734
00024,0.178711
00016,0.179688
-0012,0.180664
00020,0.181641
00052,0.182617
-0036,0.183594
-0044,0.184570
00076,0.185547
-0016,0.186523
00076,0.187500
00124,0.188477
00028,0.189453
00020,0.190430
-0008,0.191406
-0004,0.192383
00084,0.193359
00020,0.194336
-0096,0.195312
00195,0.196289
-0004,0.197266
00076,0.198242
00000,0.199219
00024,0.200195
00375,0.201172
-0004,0.202148
00132,0.203125
00012,0.204102
00004,0.205078
-0020,0.206055
-0036,0.207031
-0004,0.208008
-0100,0.208984
00024,0.209961
-0088,0.210938
-0012,0.211914
-0024,0.212891
00052,0.213867
-0044,0.214844
00068,0.215820
00203,0.216797
00004,0.217773
-0108,0.218750
00076,0.219727
-0004,0.220703
-0004,0.221680
-0044,0.222656
-0004,0.223633
00207,0.224609
00012,0.225586
00076,0.226562
-0084,0.227539
-0012,0.228516
-0024,0.229492
-0036,0.230469
00016,0.231445
-0092,0.232422
00024,0.233398
-0148,0.234375
-0012,0.235352
-0048,0.236328
00028,0.237305
00000,0.238281
00016,0.239258
00387,0.240234
00004,0.241211
00032,0.242188
00120,0.243164
-0004,0.244141
-0024,0.245117
00028,0.246094
00016,0.247070
00187,0.248047
00024,0.249023
00100,0.250000
-0040,0.250977
-0004,0.251953
-0004,0.252930
-0008,0.253906
00048,0.254883
-0084,0.255859
-0004,0.256836
00008,0.257812
00096,0.258789
00044,0.259766
00004,0.260742
-0020,0.261719
-0056,0.262695
00355,0.263672
-0028,0.264648
00036,0.265625
-0028,0.266602
00028,0.267578
00004,0.268555
-0020,0.269531
00076,0.270508
-0251,0.271484
00020,0.272461
-0032,0.273438
-0096,0.274414
00024,0.275391
00036,0.276367
00008,0.277344
-0016,0.278320
00347,0.279297
00004,0.280273
-0084,0.281250
-0040,0.282227
00004,0.283203
00036,0.284180
00000,0.285156
-0016,0.286133
-0092,0.287109
00012,0.288086
-0112,0.289062
-0004,0.290039
00036,0.291016
00048,0.291992
00008,0.292969
-0004,0.293945
-0239,0.294922
-0048,0.295898
-0016,0.296875
-0060,0.297852
-0020,0.298828
00004,0.299805
00028,0.300781
00012,0.301758
-0235,0.302734
00004,0.303711
00080,0.304688
00028,0.305664
-0036,0.306641
00044,0.307617
00020,0.308594
-0016,0.309570
-0084,0.310547
00004,0.311523
00020,0.312500
-0132,0.313477
-0004,0.314453
-0020,0.315430
-0008,0.316406
-0020,0.317383
00355,0.318359
-0012,0.319336
-0092,0.320312
00020,0.321289
00024,0.322266
-0044,0.323242
00044,0.324219
00052,0.325195
00363,0.326172
00024,0.327148
-0020,0.328125
00012,0.329102
00004,0.330078
