Amplitude (LSB) - Signal,Time (us)
-12471,0.000000
-12315,0.000977
-12176,0.001953
-11913,0.002930
-11625,0.003906
-11402,0.004883
-11031,0.005859
-10612,0.006836
-10198,0.007812
-9863,0.008789
-9400,0.009766
-8834,0.010742
-8291,0.011719
-7597,0.012695
-7023,0.013672
-6433,0.014648
-5755,0.015625
-5089,0.016602
-4359,0.017578
-3613,0.018555
-2955,0.019531
-2197,0.020508
-1416,0.021484
-0650,0.022461
00267,0.023438
01077,0.024414
01862,0.025391
02277,0.026367
02963,0.027344
03904,0.028320
04622,0.029297
05221,0.030273
06034,0.031250
06624,0.032227
07254,0.033203
08000,0.034180
08579,0.035156
09081,0.036133
09448,0.037109
09851,0.038086
10357,0.039062
10684,0.040039
11179,0.041016
11522,0.041992
11785,0.042969
11976,0.043945
12224,0.044922
12359,0.045898
12495,0.046875
12551,0.047852
12519,0.048828
12455,0.049805
12343,0.050781
12327,0.051758
12112,0.052734
11801,0.053711
11530,0.054688
11187,0.055664
10832,0.056641
10397,0.057617
09919,0.058594
09464,0.059570
08941,0.060547
08371,0.061523
07813,0.062500
07239,0.063477
06580,0.064453
05930,0.065430
05240,0.066406
04455,0.067383
03665,0.068359
03043,0.069336
02237,0.070312
01468,0.071289
00742,0.072266
-0036,0.073242
-0786,0.074219
-1551,0.075195
-2297,0.076172
-3035,0.077148
-3793,0.078125
-4523,0.079102
-5161,0.080078
-5875,0.081055
-6529,0.082031
-7127,0.083008
-7749,0.083984
-8339,0.084961
-9169,0.085938
-9568,0.086914
-9863,0.087891
-10349,0.088867
-10820,0.089844
-11123,0.090820
-11502,0.091797
-11761,0.092773
-11905,0.093750
-12124,0.094727
-12343,0.095703
-12511,0.096680
-12471,0.097656
-12415,0.098633
-12447,0.099609
-12240,0.100586
-12160,0.101562
-12044,0.102539
-11777,0.103516
-11426,0.104492
-11107,0.105469
-10796,0.106445
-10373,0.107422
-9974,0.108398
-9480,0.109375
-8977,0.110352
-8371,0.111328
-7825,0.112305
-7223,0.113281
-6608,0.114258
-5946,0.115234
-5332,0.116211
-4670,0.117188
-3920,0.118164
-3163,0.119141
-2389,0.120117
-1687,0.121094
-0865,0.122070
-0084,0.123047
00666,0.124023
01368,0.125000
02098,0.125977
02828,0.126953
03589,0.127930
04347,0.128906
05149,0.129883
05743,0.130859
06345,0.131836
07095,0.132812
07685,0.133789
08267,0.134766
08846,0.135742
09384,0.136719
09895,0.137695
10309,0.138672
10760,0.139648
11187,0.140625
11506,0.141602
11801,0.142578
12048,0.143555
12144,0.144531
12311,0.145508
12511,0.146484
12670,0.147461
12631,0.148438
12511,0.149414
12439,0.150391
12295,0.151367
12128,0.152344
11905,0.153320
11633,0.154297
11275,0.155273
10987,0.156250
10565,0.157227
10222,0.158203
09635,0.159180
09177,0.160156
08762,0.161133
08088,0.162109
07466,0.163086
06864,0.164062
06210,0.165039
05532,0.166016
04822,0.166992
04156,0.167969
03370,0.168945
02624,0.169922
01878,0.170898
01025,0.171875
00371,0.172852
-0459,0.173828
-1280,0.174805
-1966,0.175781
-2804,0.176758
-3446,0.177734
-4168,0.178711
-4957,0.179688
-5607,0.180664
-6297,0.181641
-6896,0.182617
-7558,0.183594
-8132,0.184570
-8754,0.185547
-9177,0.186523
-9719,0.187500
-10222,0.188477
-10624,0.189453
-10924,0.190430
-11330,0.191406
-11602,0.192383
-11889,0.193359
-12032,0.194336
-12248,0.195312
-12331,0.196289
-12423,0.197266
-12431,0.198242
-12391,0.199219
-12303,0.200195
-12184,0.201172
-12024,0.202148
-11801,0.203125
-11582,0.204102
-11247,0.205078
-10924,0.206055
-10549,0.207031
-10078,0.208008
-9671,0.208984
-9185,0.209961
-8714,0.210938
-8204,0.211914
-7677,0.212891
-6561,0.213867
-6050,0.214844
-5619,0.215820
-4993,0.216797
-4172,0.217773
-3466,0.218750
-2700,0.219727
-1958,0.220703
-1208,0.221680
-0435,0.222656
00347,0.223633
01240,0.224609
02046,0.225586
02732,0.226562
03418,0.227539
04032,0.228516
04838,0.229492
05591,0.230469
06313,0.231445
06927,0.232422
07589,0.233398
08076,0.234375
08694,0.235352
09201,0.236328
09751,0.237305
10142,0.238281
10517,0.239258
10856,0.240234
11290,0.241211
11594,0.242188
11984,0.243164
12184,0.244141
12351,0.245117
12415,0.246094
12559,0.247070
12519,0.248047
12583,0.249023
12551,0.250000
12367,0.250977
12152,0.251953
11968,0.252930
11825,0.253906
11570,0.254883
11219,0.255859
10844,0.256836
10445,0.257812
09927,0.258789
09368,0.259766
08818,0.260742
08347,0.261719
07853,0.262695
07167,0.263672
06481,0.264648
05787,0.265625
05085,0.266602
04351,0.267578
03569,0.268555
02812,0.269531
02189,0.270508
01432,0.271484
00618,0.272461
-0076,0.273438
-0881,0.274414
-1655,0.275391
-2381,0.276367
-3139,0.277344
-3928,0.278320
-4630,0.279297
-5308,0.280273
-6034,0.281250
-6696,0.282227
-7258,0.283203
-7845,0.284180
-8443,0.285156
-8969,0.286133
-9536,0.287109
-9986,0.288086
-10477,0.289062
-10876,0.290039
-11167,0.291016
-11482,0.291992
-11737,0.292969
